device,deviceId,deviceType,registerAddress,registerHex,variableName,dataTag,mapName,source,mapType,mapUnit,mapDescription,telemetryName,tags,aggregation,scope,rackLabel,whereTo,uiComponent,uiTab,uiField,uiFieldLabel
BSC Main,BSC-1,BSC,30037,0x7555,,bsc_fault,BSC Fault,bitfieldConfigs (reg 30037),bitfield,-,BSC Fault,BSC Fault,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,BSC Durumu,BSC Fault
BSC Main,BSC-1,BSC,30037,0x7555,,charge_status,ChargeStatus,bitfieldConfigs (reg 30037),bitfield,-,Charge Status,ChargeStatus,,,system,,,,,,ChargeStatus
BSC Main,BSC-1,BSC,30037,0x7555,,prevpc,PreVPC,bitfieldConfigs (reg 30037),bitfield,-,PreVPC,PreVPC,,,system,,,,,,PreVPC
BSC Main,BSC-1,BSC,30037,0x7555,,vpc,VPC,bitfieldConfigs (reg 30037),bitfield,-,VPC,VPC,,,system,,,,,,VPC
BSC Main,BSC-1,BSC,30037,0x7555,,spc,SPC,bitfieldConfigs (reg 30037),bitfield,-,SPC,SPC,,,system,,,,,,SPC
BSC Main,BSC-1,BSC,30037,0x7555,,tpc,TPC,bitfieldConfigs (reg 30037),bitfield,-,TPC,TPC,,,system,,,,,,TPC
BSC Main,BSC-1,BSC,30038,0x7556,BSC1-8,bsc1_online-rack_no,No. of online racks,,uint16,ea,The number of racks which can be charged or discharged e.g.) 0x000B → 11ea,Online Rack No,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,,,,
BSC Main,BSC-1,BSC,30043,0x755b,,ctrl_loc_alarm,Controller LOC Alarm,bitfieldConfigs (reg 30043),bitfield,-,Controller LOC Alarm,Controller LOC Alarm,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Kontrolcü Bağlantısı,Controller LOC Alarm
BSC Main,BSC-1,BSC,30043,0x755b,,ctrl_loc_warning,Controller LOC Warning,bitfieldConfigs (reg 30043),bitfield,-,Controller LOC Warning,Controller LOC Warning,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Kontrolcü Bağlantısı,Controller LOC Warning
BSC Main,BSC-1,BSC,30043,0x755b,,ctrl_loc_fault,Controller LOC Fault,bitfieldConfigs (reg 30043),bitfield,-,Controller LOC Fault,Controller LOC Fault,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Kontrolcü Bağlantısı,Controller LOC Fault
BSC Main,BSC-1,BSC,30044,0x755c,,Over Charge/Discharge Power_alarm,Over Discharge Power Alarm,bitfieldConfigs (reg 30044),bitfield,-,Over Discharge Power Alarm,Over Discharge Power Alarm,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Güç Koruması,Over Discharge Power Alarm
BSC Main,BSC-1,BSC,30044,0x755c,,Over Charge/Discharge Power_warning,Over Discharge Power Warning,bitfieldConfigs (reg 30044),bitfield,-,Over Discharge Power Warning,Over Discharge Power Warning,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Güç Koruması,Over Discharge Power Warning
BSC Main,BSC-1,BSC,30044,0x755c,,Over Charge/Discharge Power_fault,Over Discharge Power Fault,bitfieldConfigs (reg 30044),bitfield,-,Over Discharge Power Fault,Over Discharge Power Fault,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Güç Koruması,Over Discharge Power Fault
BSC Main,BSC-1,BSC,30044,0x755c,,Over Charge/Discharge Power_alarm,Over Charge Power Alarm,bitfieldConfigs (reg 30044),bitfield,-,Over Charge Power Alarm,Over Charge Power Alarm,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Güç Koruması,Over Charge Power Alarm
BSC Main,BSC-1,BSC,30044,0x755c,,Over Charge/Discharge Power_warning,Over Charge Power Warning,bitfieldConfigs (reg 30044),bitfield,-,Over Charge Power Warning,Over Charge Power Warning,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Güç Koruması,Over Charge Power Warning
BSC Main,BSC-1,BSC,30044,0x755c,,Over Charge/Discharge Power_fault,Over Charge Power Fault,bitfieldConfigs (reg 30044),bitfield,-,Over Charge Power Fault,Over Charge Power Fault,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Güç Koruması,Over Charge Power Fault
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_alarm,SLF (System Logging Failure) Alarm,bitfieldConfigs (reg 30045),bitfield,-,SLF (System Logging Failure) Alarm,SLF (System Logging Failure) Alarm,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Sistem Log,SLF (System Logging Failure) Alarm
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_warning,SLF (System Logging Failure) Warning,bitfieldConfigs (reg 30045),bitfield,-,SLF (System Logging Failure) Warning,SLF (System Logging Failure) Warning,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Sistem Log,SLF (System Logging Failure) Warning
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_fault,SLF (System Logging Failure) Fault,bitfieldConfigs (reg 30045),bitfield,-,SLF (System Logging Failure) Fault,SLF (System Logging Failure) Fault,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Sistem Log,SLF (System Logging Failure) Fault
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_alarm,MFRD (Multiple Fault Rack) Alarm,bitfieldConfigs (reg 30045),bitfield,-,MFRD (Multiple Fault Rack) Alarm,MFRD (Multiple Fault Rack) Alarm,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Çoklu Raf,MFRD (Multiple Fault Rack) Alarm
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_warning,MFRD (Multiple Fault Rack) Warning,bitfieldConfigs (reg 30045),bitfield,-,MFRD (Multiple Fault Rack) Warning,MFRD (Multiple Fault Rack) Warning,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Çoklu Raf,MFRD (Multiple Fault Rack) Warning
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_fault,MFRD (Multiple Fault Rack) Fault,bitfieldConfigs (reg 30045),bitfield,-,MFRD (Multiple Fault Rack) Fault,MFRD (Multiple Fault Rack) Fault,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Çoklu Raf,MFRD (Multiple Fault Rack) Fault
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_alarm,Over Offline Rack Alarm,bitfieldConfigs (reg 30045),bitfield,-,Over Offline Rack Alarm,Over Offline Rack Alarm,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Çevrimdışı Raf,Over Offline Rack Alarm
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_warning,Over Offline Rack Warning,bitfieldConfigs (reg 30045),bitfield,-,Over Offline Rack Warning,Over Offline Rack Warning,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Çevrimdışı Raf,Over Offline Rack Warning
BSC Main,BSC-1,BSC,30045,0x755d,,Misc Diagnostics_fault,Over Offline Rack Fault,bitfieldConfigs (reg 30045),bitfield,-,Over Offline Rack Fault,Over Offline Rack Fault,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Çevrimdışı Raf,Over Offline Rack Fault
BSC Main,BSC-1,BSC,30046,0x755e,,reserved_diag_4,Reserved,bitfieldConfigs (reg 30046),bitfield,-,Reserved,Reserved,,,system,,,,,,Reserved
BSC Main,BSC-1,BSC,30047,0x755f,,reserved_diag_5,Reserved,bitfieldConfigs (reg 30047),bitfield,-,Reserved,Reserved,,,system,,,,,,Reserved
BSC Main,BSC-1,BSC,30048,0x7560,,RBMS SW Version Mismatch_alarm,RBMS SW Version Mismatch Alarm,bitfieldConfigs (reg 30048),bitfield,-,RBMS SW Version Mismatch Alarm,RBMS SW Version Mismatch Alarm,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Yazılım Uyuşmazlığı,RBMS SW Version Mismatch Alarm
BSC Main,BSC-1,BSC,30048,0x7560,,RBMS SW Version Mismatch_warning,RBMS SW Version Mismatch Warning,bitfieldConfigs (reg 30048),bitfield,-,RBMS SW Version Mismatch Warning,RBMS SW Version Mismatch Warning,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Yazılım Uyuşmazlığı,RBMS SW Version Mismatch Warning
BSC Main,BSC-1,BSC,30048,0x7560,,RBMS SW Version Mismatch_fault,RBMS SW Version Mismatch Fault,bitfieldConfigs (reg 30048),bitfield,-,RBMS SW Version Mismatch Fault,RBMS SW Version Mismatch Fault,,,system,,,"RackDetailModal
('Detay Göster' butonu → Teşhis sekmesi)",Teşhis,Yazılım Uyuşmazlığı,RBMS SW Version Mismatch Fault
BSC Main,BSC-1,BSC,30049,0x7561,,reserved_diag_7,Reserved,bitfieldConfigs (reg 30049),bitfield,-,Reserved,Reserved,,,system,,,,,,Reserved
BSC Main,BSC-1,BSC,30050,0x7562,,reserved_diag_8,Reserved,bitfieldConfigs (reg 30050),bitfield,-,Reserved,Reserved,,,system,,,,,,Reserved
BSC Main,BSC-1,BSC,30055,0x7567,BSC1-49,,BSC SOC (among online racks),,uint16,%,System SOC calculated based on online racks e.g.) 0x20DA → 8410 * 0.01 = 84.10%,SOC,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,"RackCard
(Rack sayfası kart bileşeni)",,soc,SoC (%)
BSC Main,BSC-1,BSC,30056,0x7568,BSC1-50,,BSC SOH (among online racks),,uint16,%,The average SOH of all the online racks e.g.) 0x20DA → 8410 * 0.01 = 84.10%,SOH,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,"RackCard
(Rack sayfası kart bileşeni)",,soh,SoH (%)
BSC Main,BSC-1,BSC,30057,0x7569,BSC1-51,,Anticipated BSC DC Voltage (when there is no online rack),,uint32,V,"The anticipated BSC DC voltage, after racks’ contactors are closed e.g.) 0x0072 C14D → 7520589 * 0.0001 = 752.0589V",AnticipatedVoltage,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,,,,
BSC Main,BSC-1,BSC,30059,0x756b,BSC1-53,,BSC DC Voltage (among online racks),,uint32,V,The average of voltage of all the online racks,Voltage,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,"RackCard
(Rack sayfası kart bileşeni)",,voltage,Voltaj (V)
BSC Main,BSC-1,BSC,30061,0x756d,BSC1-55,,BSC DC Current,,sint32,A,Total amount of DC current in the battery section,Current,"rack_id: system, deviceId: BSC-1",,system,,Dashboard,"RackCard
(Rack sayfası kart bileşeni)",,current,Akım (A)
BSC Main,BSC-1,BSC,30063,0x756f,BSC1-57,,BSC DC Charge Power Limit,,uint32,kW,The maximum power allowed to charge the battery section e.g.) 0x0001 1BC1 → 72641 * 0.001 = 72.641kW,ChargePower,"rack_id: system, deviceId: BSC-1",,system,,Control,"RackCard
(Rack sayfası kart bileşeni)",,power_kw,Güç (kW)
BSC Main,BSC-1,BSC,30065,0x7571,BSC1-59,,BSC DC Discharge Power Limit,,uint32,kW,The maximum power allowed to discharge the battery section e.g.) 0x0001 1BC1 → 72641 * 0.001 = 72.641kW,DischargePower,"rack_id: system, deviceId: BSC-1",,system,,Control,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,dischargePowerLimit,Deşarj Güç Limiti (kW)
BSC Main,BSC-1,BSC,30100,0x7594,BSC1-61,,Max SOC (among online racks),Summary               -                Summary,uint16,%,The highest SOC (among online racks) e.g.) 0x20DA → 8410 * 0.01 = 84.10%,SOC,"rack_id: system, aggregation: max, deviceId: BSC-1",max,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soc,SoC (%)
BSC Main,BSC-1,BSC,30101,0x7595,BSC1-62,,Average SOC (among online racks),,uint16,%,The average  (among online racks) e.g.) 0x20DA → 8410 * 0.01 = 84.10%,SOC,"rack_id: system, aggregation: avg, deviceId: BSC-1",avg,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soc,SoC (%)
BSC Main,BSC-1,BSC,30102,0x7596,BSC1-63,,Min SOC (among online racks),,uint16,%,The lowest  (among online racks) e.g.) 0x20DA → 8410 * 0.01 = 84.10%,SOC,"rack_id: system, aggregation: min, deviceId: BSC-1",min,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soc,SoC (%)
BSC Main,BSC-1,BSC,30103,0x7597,BSC1-64,,Rack Location of Max SOC (among online racks),,uint16,-,The rack location that has the highest SOC (among online racks),SOC,"aggregation: max, variant: rack_no, deviceId: BSC-1",max,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soc,SoC (%)
BSC Main,BSC-1,BSC,30105,0x7599,BSC1-65,,Rack Location of Min SOC (among online racks),,uint16,-,The rack location that has the lowest SOC (among online racks),SOC,"aggregation: min, variant: rack_no, deviceId: BSC-1",min,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soc,SoC (%)
BSC Main,BSC-1,BSC,30107,0x759b,BSC1-66,,No. of recalibration racks,,uint16,ea,The number of online rack that require recalibration.,Recalibration Racks,"rack_id: system, deviceId: BSC-1",,system,,Rack Details,,,,
BSC Main,BSC-1,BSC,30109,0x759d,BSC1-67,,Max SOH (among online racks),,uint16,%,The highest  (among online racks) e.g.) 0x20DA → 8410 * 0.01 = 84.10%,SOH,"rack_id: system, aggregation: max, deviceId: BSC-1",max,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soh,SoH (%)
BSC Main,BSC-1,BSC,30110,0x759e,BSC1-68,,Average SOH (among online racks),,uint16,%,The average  (among online racks) e.g.) 0x20DA → 8410 * 0.01 = 84.10%,SOH,"rack_id: system, aggregation: avg, deviceId: BSC-1",avg,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soh,SoH (%)
BSC Main,BSC-1,BSC,30111,0x759f,BSC1-69,,Min SOH (among online racks),,uint16,%,The lowest  (among online racks) e.g.) 0x20DA → 8410 * 0.01 = 84.10%,SOH,"rack_id: system, aggregation: min, deviceId: BSC-1",min,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soh,SoH (%)
BSC Main,BSC-1,BSC,30112,0x75a0,BSC1-70,,Rack Location of Max SOH (among online racks),,uint16,-,The rack location that has the highest SOH in a rack (among online racks),SOH,"aggregation: max, variant: rack_no, deviceId: BSC-1",max,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soh,SoH (%)
BSC Main,BSC-1,BSC,30114,0x75a2,BSC1-71,,Rack Location of Min SOH (among online racks),,uint16,-,The rack location that has the lowest SOH in a rack (among online racks),SOH,"aggregation: min, variant: rack_no, deviceId: BSC-1",min,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,soh,SoH (%)
BSC Main,BSC-1,BSC,30118,0x75a6,BSC1-72,,Max Cell Sum Voltage (among online racks),,uint32,V,The highest cell sum voltage (among online racks) e.g.) 0x0072 C14D → 752058 * 0.0001 = 752.0589V,Voltage,"rack_id: system, aggregation: max, scope: cell_sum, deviceId: BSC-1",max,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,voltage,Voltaj (V)
BSC Main,BSC-1,BSC,30120,0x75a8,BSC1-74,,Average Cell Sum Voltage (among online racks),,uint32,V,The average cell sum voltage (among online racks) e.g.) 0x0072 C14D → 752058 * 0.0001 = 752.0589V,Voltage,"rack_id: system, aggregation: avg, scope: cell_sum, deviceId: BSC-1",avg,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,voltage,Voltaj (V)
BSC Main,BSC-1,BSC,30122,0x75aa,BSC1-76,,Min Cell Sum Voltage (among online racks),,uint32,V,The lowest cell sum voltage (among online racks) e.g.) 0x0072 C14D → 752058 * 0.0001 = 752.0589V,Voltage,"rack_id: system, aggregation: min, scope: cell_sum, deviceId: BSC-1",min,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,voltage,Voltaj (V)
BSC Main,BSC-1,BSC,30124,0x75ac,BSC1-78,,Rack Location of Max Cell Sum Voltage (among online racks),,uint16,-,The rack location that has the highest cell sum voltage (among online racks),Voltage,"aggregation: max, variant: rack_no, deviceId: BSC-1",max,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,voltage,Voltaj (V)
BSC Main,BSC-1,BSC,30125,0x75ad,BSC1-79,,Rack Location of Min Cell Sum Voltage (among online racks),,uint16,-,The rack location that has the lowest cell sum voltage (among online racks),Voltage,"aggregation: min, variant: rack_no, deviceId: BSC-1",min,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,voltage,Voltaj (V)
BSC Main,BSC-1,BSC,30128,0x75b0,BSC1-80,,Max Current (among online racks),,sint32,A,"The highest current (among online racks) e.g.) 0x0001 32A1 → 78497 * 0.001 = 78.497A, 0xFFFE CD5F → -78497 * 0.001 = -78.497A",Current,"rack_id: system, aggregation: max, deviceId: BSC-1",max,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,current,Akım (A)
BSC Main,BSC-1,BSC,30130,0x75b2,BSC1-82,,Average Current (among online racks),,sint32,A,"The average current (among online racks) e.g.) 0x0001 32A1 → 78497 * 0.001 = 78.497A, 0xFFFE CD5F → -78497 * 0.001 = -78.497A",Current,"rack_id: system, aggregation: avg, deviceId: BSC-1",avg,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,current,Akım (A)
BSC Main,BSC-1,BSC,30132,0x75b4,BSC1-84,,Min Current (among online racks),,sint32,A,"The lowest current (among online racks) e.g.) 0x0001 32A1 → 78497 * 0.001 = 78.497A, 0xFFFE CD5F → -78497 * 0.001 = -78.497A",Current,"rack_id: system, aggregation: min, deviceId: BSC-1",min,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,current,Akım (A)
BSC Main,BSC-1,BSC,30134,0x75b6,BSC1-86,,Rack Location of Max Current (among online racks),,uint16,-,The rack location that has the highest current (among online racks),Current,"aggregation: max, variant: rack_no, deviceId: BSC-1",max,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,current,Akım (A)
BSC Main,BSC-1,BSC,30135,0x75b7,BSC1-87,,Rack Location of Min Current (among online racks),,uint16,-,The rack location that has the lowest current (among online racks),Current,"aggregation: min, variant: rack_no, deviceId: BSC-1",min,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,current,Akım (A)
BSC Main,BSC-1,BSC,30138,0x75ba,BSC1-88,,Max Cell Voltage (among online racks),,uint16,V,The highest cell voltage (among online racks) e.g.) 0xE43 → 3651 * 0.001 = 3.651V,CellVoltage,"rack_id: system, aggregation: max, deviceId: BSC-1",max,system,,Rack Details,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,maxCellVoltage,Maks Hücre Voltajı (V)
BSC Main,BSC-1,BSC,30139,0x75bb,BSC1-89,,Average Cell Voltage (among online racks),,uint16,V,The average cell voltage (among online racks) e.g.) 0xE43 → 3651 * 0.001 = 3.651V,CellVoltage,"rack_id: system, aggregation: avg, deviceId: BSC-1",avg,system,,Rack Details,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,avgCellVoltage,Ort Hücre Voltajı (V)
BSC Main,BSC-1,BSC,30140,0x75bc,BSC1-90,,Min Cell Voltage (among online racks),,uint16,V,The lowest cell voltage (among online racks) e.g.) 0xE43 → 3651 * 0.001 = 3.651V,CellVoltage,"rack_id: system, aggregation: min, deviceId: BSC-1",min,system,,Rack Details,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,minCellVoltage,Min Hücre Voltajı (V)
BSC Main,BSC-1,BSC,30141,0x75bd,BSC1-91,,Rack Location of Max Cell Voltage (among online racks),,uint16,-,The rack location that has the highest cell voltage (among online racks),CellLocation,"variant: max_cell_v, deviceId: BSC-1",,system,,Rack Details,,,,
BSC Main,BSC-1,BSC,30142,0x75be,BSC1-92,,Pack Location of Max Cell Voltage (among online racks),,uint16,-,The pack location that has the highest cell voltage in a rack (among online racks),CellLocation,"rack_id: system, variant: pack_max_cell_v, deviceId: BSC-1",,system,,Rack Details,,,,
BSC Main,BSC-1,BSC,30143,0x75bf,BSC1-93,,Cell Location of Max Cell Voltage (among online racks),,uint16,-,The cell location that has the highest cell voltage in a pack (among online racks),CellLocation,"rack_id: system, variant: cell_max_cell_v, deviceId: BSC-1",,system,,Rack Details,,,,
BSC Main,BSC-1,BSC,30144,0x75c0,BSC1-94,,Rack Location of Min Cell Voltage (among online racks),,uint16,-,The rack location that has the lowest cell voltage (among online racks),CellLocation,"variant: min_cell_v, deviceId: BSC-1",,system,,Rack Details,,,,
BSC Main,BSC-1,BSC,30145,0x75c1,BSC1-95,,Pack Location of Min Cell Voltage (among online racks),,uint16,-,The pack location that has the lowest cell voltage (among online racks),CellLocation,"rack_id: system, variant: pack_min_cell_v, deviceId: BSC-1",,system,,Rack Details,,,,
BSC Main,BSC-1,BSC,30146,0x75c2,BSC1-96,,Cell Location of Min Cell Voltage (among online racks),,uint16,-,The cell location that has the lowest cell voltage in a pack (among online racks),CellLocation,"rack_id: system, variant: cell_min_cell_v, deviceId: BSC-1",,system,,Rack Details,,,,
BSC Main,BSC-1,BSC,30149,0x75c5,BSC1-97,,Max Pack Temperature (among online racks),,sint16,℃,The highest pack temperature (among online racks) e.g.) 0xAE → 175 * 0.1 = 17.5℃,Temperature,"rack_id: system, aggregation: max, deviceId: BSC-1",max,system,,Rack Details,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,maxPackTemperature,Maks Paket Sıcaklığı (°C)
BSC Main,BSC-1,BSC,30150,0x75c6,BSC1-98,,Average Pack Temperature (among online racks),,sint16,℃,The average pack temperature (among online racks) e.g.) 0xAE → 175 * 0.1 = 17.5℃,Temperature,"rack_id: system, aggregation: avg, deviceId: BSC-1",avg,system,,Rack Details,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,avgPackTemperature,Ort Paket Sıcaklığı (°C)
BSC Main,BSC-1,BSC,30151,0x75c7,BSC1-99,,Min Pack Temperature (among online racks),,sint16,℃,The lowest pack temperature (among online racks) e.g.) 0xAE → 175 * 0.1 = 17.5℃,Temperature,"rack_id: system, aggregation: min, deviceId: BSC-1",min,system,,Rack Details,"RackDetailModal
('Detay Göster' butonu → Telemetri sekmesi)",Telemetri,minPackTemperature,Min Paket Sıcaklığı (°C)
BSC Main,BSC-1,BSC,30152,0x75c8,BSC1-100,,Rack Location  of Max Pack Temperature (among online racks),,uint16,-,The rack location that has the highest pack temperature (among online racks),Temperature,"variant: max_temp_rack_no, deviceId: BSC-1",,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,temperature,Sıcaklık (°C)
BSC Main,BSC-1,BSC,30153,0x75c9,BSC1-101,,Pack Location  of Max Pack Temperature (among online racks),,uint16,-,The pack location that has the highest pack temperature (among online racks),Temperature,"rack_id: system, variant: pack_max_no, deviceId: BSC-1",,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,temperature,Sıcaklık (°C)
BSC Main,BSC-1,BSC,30154,0x75ca,BSC1-102,,Sensor Location  of Max Pack Temperature (among online racks),,uint16,-,The sensor location that has the highest pack temperature (among online racks),Temperature,"rack_id: system, variant: sensor_max, deviceId: BSC-1",,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,temperature,Sıcaklık (°C)
BSC Main,BSC-1,BSC,30155,0x75cb,BSC1-103,,Rack Location  of Min Pack Temperature (among online racks),,uint16,-,The rack location that has the lowest pack temperature (among online racks),Temperature,"variant: min_temp_rack_no, deviceId: BSC-1",,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,temperature,Sıcaklık (°C)
BSC Main,BSC-1,BSC,30156,0x75cc,BSC1-104,,Pack Location  of Min Pack Temperature (among online racks),,uint16,-,The pack location that has the lowest pack temperature (among online racks),Temperature,"rack_id: system, variant: pack_min_no, deviceId: BSC-1",,system,,Rack Details,"RackCard
(Rack sayfası kart bileşeni)",,temperature,Sıcaklık (°C)
